SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
22,1,2,3,1,0.8842300039845631,0.9661983159230623,0.1
22,1,2,3.5,1,0.8840034875447313,0.9954133225915062,0.1
22,1,2,4,1,0.8982939731252481,0.994943561780552,0.1
22,1,2,4.5,1,0.9120189706263392,0.9945244179485903,0.1
22,1,2,5,1,0.9504636996574023,0.9143157596427823,0.1
22,1,2,5.5,1,0.9397365440387543,0.9884818508481776,0.1
22,1,3,0,1,0.8691564805102565,0.9164569062282011,0.1
22,1,3,0.5,1,0.848588088850783,0.9635050194476582,0.1
22,1,3,1,1,0.8372401749016793,0.9915174760556837,0.1
22,1,3,1.5,1,0.8500475878477363,0.9768730131468073,0.1
22,1,3,2,1,0.8515635093200226,0.9912841953195872,0.1
22,1,3,2.5,1,0.9041641041530679,0.8932722737720769,0.1
22,1,3,3,1,0.8950889017335396,0.933945702926552,0.1
22,1,3,3.5,1,0.8973265215789177,0.9598409643602857,0.1
22,1,3,4,1,0.90894066780418,0.9663805684940033,0.1
22,1,3,4.5,1,0.9348914569725112,0.9282241484546948,0.1
22,1,3,5,1,0.9320224819543671,0.9703888609246563,0.1
22,1,3,5.5,1,0.9436048127862919,0.9711472614651345,0.1
22,1,4,0,1,0.8875887970279552,0.8748657334256036,0.1
22,1,4,0.5,1,0.8833620227069477,0.8818817203801794,0.1
22,1,4,1,1,0.8814548221889122,0.8964584487871777,0.1
22,1,4,1.5,1,0.910139817982648,0.842075741287619,0.1
22,1,4,2,1,0.8670277790250003,0.9548800281242776,0.1
22,1,4,2.5,1,0.9228821318063035,0.8416893545185009,0.1
22,1,4,3,1,0.8767871976139292,0.9796578441102138,0.1
22,1,4,3.5,1,0.8989289056948844,0.9571383874296223,0.1
22,1,4,4,1,0.9081948196728105,0.9645747710202532,0.1
22,1,4,4.5,1,0.9162476873556967,0.9779774298661347,0.1
22,1,4,5,1,0.939453488966667,0.9428351495117333,0.1
22,1,4,5.5,1,0.9494223173659238,0.9485540837513107,0.1
22,1,5,0,1,0.8757630569713492,0.8973027702921266,0.1
22,1,5,0.5,1,0.8554200066056941,0.9465383513991661,0.1
22,1,5,1,1,0.8516817394605077,0.960198321291984,0.1
22,1,5,1.5,1,0.8992136337393459,0.8662022587542493,0.1
22,1,5,2,1,0.912913168933034,0.8488407595854506,0.1
22,1,5,2.5,1,0.9076977002911779,0.8817255111724923,0.1
22,1,5,3,1,0.9054895772919916,0.9063653814391239,0.1
22,1,5,3.5,1,0.9003835024079558,0.9537672080625917,0.1
22,1,5,4,1,0.9007143065376672,0.984056924852581,0.1
22,1,5,4.5,1,0.9667914821985509,0.8089658658160266,0.1
22,1,5,5,1,0.9477863306145335,0.9133951787294027,0.1
22,1,5,5.5,1,0.9650285222283412,0.8826781803535759,0.1
22,1,6,0,1,0.8629918846715338,0.9249119282838175,0.1
22,1,6,0.5,1,0.8958490699390332,0.8507020319615982,0.1
22,1,6,1,1,0.864779224553538,0.9312449251558852,0.1
