SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
22,10,5,1,100,0.9960089692157551,0.9084184656586456,0.1
22,1,5,1,100,0.9763500322706804,0.92702374685177,0.1
22,1,1,0,25,0.9328978184838325,0.9613181770814978,0.1
22,1,1,0.5,25,0.9164894082034256,0.9810116785910167,0.1
22,1,1,1,25,0.9279908829759324,0.9754994763881638,0.1
22,1,1,1.5,25,0.9299055083287868,0.9837120428496456,0.1
22,1,1,2,25,0.9406773491099043,0.9858372969303579,0.1
22,1,1,2.5,25,0.9506512364012306,0.9896196220904101,0.1
22,1,1,3,25,0.9691359120887776,0.9860231673239889,0.1
22,1,1,3.5,25,0.9793342051326608,0.9887251343074783,0.1
22,1,1,4,25,0.9869214757896202,0.992406948983863,0.1
22,1,1,5,25,0.9959737615109053,0.9978010077645766,0.1
22,1,1,6,25,0.9997386071253952,0.9987142827175522,0.1
22,1,1,7,25,0.9986780768401393,0.9983912529694192,0.1
22,1,1,8,25,0.9969248673505463,0.9981288482133792,0.1
22,1,1,9,25,0.9964110773156837,0.9980299865100363,0.1
22,1,1,10,25,0.997878072932629,0.9982172896098405,0.1
22,1,2,0,25,0.9438067733364552,0.9499795641155662,0.1
22,1,2,0.5,25,0.942090835420225,0.954433798630999,0.1
22,1,2,1,25,0.9379268176617148,0.9649423888302634,0.1
22,1,2,1.5,25,0.949055715941461,0.9643176497504794,0.1
22,1,2,2,25,0.9568798870435378,0.9692516383412034,0.1
22,1,2,2.5,25,0.9599361921199454,0.9803046751951321,0.1
22,1,2,3,25,0.9715847058605808,0.9829569634824944,0.1
22,1,2,3.5,25,0.9783315524899182,0.9894719053051945,0.1
22,1,2,4,25,0.9888240748604149,0.9904834871409023,0.1
22,1,2,5,25,0.9966577743118663,0.9972514666783505,0.1
22,1,2,6,25,0.9998054380372733,0.9985036848927095,0.1
22,1,2,7,25,0.9988974989002444,0.9982829186988208,0.1
22,1,2,8,25,0.9974272371294312,0.9972272792249272,0.1
22,1,2,9,25,0.9971370499939416,0.9970685120733457,0.1
22,1,2,10,25,0.9982883215371784,0.9975909599378722,0.1
22,1,3,0,25,0.9546830381972972,0.9394814312111734,0.1
22,1,3,0.5,25,0.9505742776876432,0.9458126661275001,0.1
22,1,3,1,25,0.9598501357688224,0.9427558322115448,0.1
22,1,3,2,25,0.9649937499658995,0.9610286521596156,0.1
22,1,3,2.5,25,0.9784737376860985,0.9617660827717411,0.1
22,1,3,3,25,0.9805966654724806,0.9741309152628848,0.1
22,1,3,3.5,25,0.9891094606895913,0.9787920142486443,0.1
22,1,3,4,25,0.9910082500441872,0.9881566860178754,0.1
22,1,3,5,25,0.9979271938191296,0.9959390043811389,0.1
22,1,3,6,25,0.9998543842490548,0.9985816814474007,0.1
22,1,3,7,25,0.9991465602393524,0.9979696553315548,0.1
22,1,3,8,25,0.9980951644345462,0.9966122274053812,0.1
22,1,3,9,25,0.997794155968576,0.9964377470771908,0.1
22,1,3,10,25,0.9985671138770223,0.9973077415983184,0.1
22,1,4,0,25,0.9667779111241113,0.9277616167833405,0.1
22,1,4,0.5,25,0.963959374341286,0.9326970657319832,0.1
22,1,4,1,25,0.9633733589615793,0.9395913210239125,0.1
22,1,4,1.5,25,0.9664298441277651,0.946799145207548,0.1
22,1,4,2,25,0.9787456102595467,0.9474594340107302,0.1
22,1,4,2.5,25,0.9791893645264529,0.9611559398630064,0.1
22,1,4,3,25,0.9884203297994283,0.9662334662209618,0.1
22,1,4,3.5,25,0.9904057328833799,0.9774828068169626,0.1
22,1,4,4,25,0.9924976834420117,0.9866981219108805,0.1
22,1,4,5,25,0.998607559722467,0.9952477889604266,0.1
22,1,4,6,25,0.9998637873857797,0.9986332796259285,0.1
22,1,4,7,25,0.9994342838396881,0.997730726016924,0.1
22,1,4,8,25,0.9981619783759865,0.9966261397875186,0.1
22,1,4,9,25,0.9983043097479213,0.9960531492063609,0.1
22,1,4,10,25,0.998926378166872,0.9969839772306593,0.1
22,1,5,0,25,0.9791913722016747,0.9156692871893399,0.1
22,1,5,0.5,25,0.9680365208598798,0.9284666768799141,0.1
22,1,5,1,25,0.9804433746887593,0.9229949253709865,0.1
22,1,5,1.5,25,0.9772398564220423,0.9361841079463153,0.1
22,1,5,2,25,0.9830109932453419,0.9433210028346699,0.1
