SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
1616,1.0,3,0.0,25,0.7999499620020476,0.8359535945253503,0.1
1616,3.0,0,1.0,25,0.7311007701364478,1.000000000000001,0.1
1616,1.0,3,4.0,25,0.8243626604096206,0.8768215504236568,0.1
1616,3.0,0,2.0,25,0.7484091632854404,0.9999999999999999,0.1
1616,3.0,0,3.0,25,0.7714908892348803,1.0000000000000053,0.1
1616,1.0,3,5.0,25,0.8366693527491224,0.8890585703154836,0.1
1616,1.0,4,1.0,25,0.7979178624515746,0.8392396275930798,0.1
1616,3.0,0,0.0,25,0.724684781177827,1.0000000000000013,0.1
1616,1.0,3,8.0,25,0.8767845866519015,0.8982308028638325,0.1
1616,3.0,1,3.0,25,0.8258042197366318,0.8779420882442929,0.1
1616,1.0,3,15.0,25,0.9372664758963382,0.9063990305419232,0.1
1616,3.0,1,2.0,25,0.8227865843640646,0.8294330711166462,0.1
1616,1.0,3,10.0,25,0.8971084912371708,0.8952112159377436,0.1
1616,3.0,1,1.0,25,0.8243655810751063,0.8103265557637486,0.1
1616,1.0,4,2.0,25,0.8079180465710925,0.8460487327073734,0.1
1616,1.0,4,4.0,25,0.832601140858775,0.8705169252428121,0.1
1616,1.0,4,5.0,25,0.8416031048974792,0.894717769716208,0.1
1616,3.0,1,0.0,25,0.8310810634583473,0.779336599023285,0.1
1616,1.0,4,0.0,25,0.8050580378857831,0.8283773291474691,0.1
1616,1.0,4,3.0,25,0.8293959516863876,0.8562328822021981,0.1
1616,3.0,2,3.0,25,0.8854928349894737,0.7946231864096154,0.1
1616,1.0,5,1.0,25,0.7992658902395404,0.8416032034616737,0.1
1616,3.0,2,1.0,25,0.8393052185300647,0.7970948509876419,0.1
1616,1.0,4,8.0,25,0.8787731047987488,0.9029071958123575,0.1
1616,1.0,4,15.0,25,0.9365741625323432,0.9097870759801273,0.1
1616,3.0,2,2.0,25,0.8586943578639206,0.8027947892610707,0.1
1616,1.0,4,10.0,25,0.8985105275179099,0.9038595099476865,0.1
1616,1.0,5,5.0,25,0.8475437059931791,0.8837611495932789,0.1
1616,3.0,2,0.0,25,0.8494835783416828,0.7800684082504171,0.1
1616,1.0,5,2.0,25,0.8124150860392283,0.8477269183582449,0.1
1616,1.0,5,4.0,25,0.8331567039693667,0.8787847929421301,0.1
1616,1.0,5,0.0,25,0.8047994489871032,0.8284037033835265,0.1
1616,2.0,0,1.0,25,0.7311007701364478,1.000000000000001,0.1
1616,2.0,0,2.0,25,0.7484091632854404,0.9999999999999999,0.1
1616,2.0,0,3.0,25,0.7714908892348803,1.0000000000000053,0.1
1616,1.0,5,3.0,25,0.8233192710805465,0.8615382730052226,0.1
1616,2.0,0,0.0,25,0.724684781177827,1.0000000000000013,0.1
1616,3.0,3,3.0,25,0.8917426208712815,0.7953248276473244,0.1
1616,2.0,1,1.0,25,0.806612520810922,0.8486738602345085,0.1
1616,2.0,1,2.0,25,0.8021749250364387,0.866361694506842,0.1
1616,3.0,3,1.0,25,0.8795689207876961,0.7603330904289924,0.1
1616,1.0,5,8.0,25,0.878639533260282,0.9052764593129847,0.1
1616,2.0,1,3.0,25,0.8124616998641057,0.8781847046690487,0.1
1616,1.0,5,15.0,25,0.936468538491658,0.9129190090010515,0.1
