SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
22,1.5,1,10,25,0.9980065720860478,0.9980407485320059,0.1
22,1.5,4,10,25,0.9995625196053601,0.9963728877394065,0.1
22,1.5,0,19,25,0.9997867335149075,1.0000000000000002,0.1
22,1.5,0,18,25,0.9999621338506026,1.0000000000000013,0.1
22,1.5,1,18,25,0.999976450360181,0.9988615655358497,0.1
22,1.5,4,18,25,0.9999944249052775,0.9989024599382752,0.1
22,1.5,3,18,25,0.9999933779747666,0.9987214377253851,0.1
22,1,2,18,10,0.999974182125564,0.9990467584564385,0.1
22,2,2,18,10,0.9999885812719239,0.9987876243956881,0.1
22,1.5,4,18,10,0.9999950574781826,0.9988342918138529,0.1
22,1.5,3,18,10,0.9999894659983138,0.998916884229867,0.1
22,1.5,5,18,10,0.9999973820797131,0.9989441833195892,0.1
22,1.5,6,18,10,0.9999961993005839,0.9989287293411512,0.1
22,1.5,0,0,10,0.0032561063884416442,1.0,0.1
22,1.5,0,5,10,0.00605290490100169,1.0000000000000004,0.1
22,1.5,0,5,10,0.986471074570676,1.0000000000000004,0.1
22,1.5,0,5.5,10,0.9900580343203784,1.0000000000000016,0.1
22,1.5,0,4,10,0.9737894196140534,1.0000000000000002,0.1
22,1.5,1,4,10,0.9781825157235309,0.994781638224781,0.1
22,5,1,4,10,0.9834369482470733,0.9899656113962145,0.1
22,5,1,4,10,0.9864934269989871,0.9866966637353176,0.1
22,10,1,4,10,0.9851173987955781,0.9878382482487033,0.1
22,10,1,0,10,0.9331565933375334,0.9567400339498517,0.1
44,10,0,0,10,0.841519445765513,1.0,0.1
44,5,1,0,10,0.9284641035008434,0.9063644549708716,0.1
44,5,3,0,10,0.9768019022096539,0.8578918678386812,0.1
44,1,0,39.4,5,0.9999140757651898,0.9999999999999997,0.1
44,1,1,39.4,5,0.9999255314720321,0.9946730817639058,0.1
44,5,1,39.4,5,0.9999618558178769,0.9945980948475768,0.1
44,10,1,39.4,5,0.9999535724464659,0.9946925486515419,0.1
44,10,2,39.4,5,0.9999837421175798,0.9935226992065266,0.1
44,10,3,39.4,5,0.9999914189353444,0.9935528390481836,0.1
44,10,3,39.4,5,0.9999925283647614,0.9941681609809955,0.1
44,10,6,39.4,5,0.9999970264775758,0.9951929540025278,0.1
44,10,6,78.8,5,0.9999991828998397,0.9951351447085136,0.1
88,5,0,18,5,0.9982414018485901,1.0000000000000016,0.1
88,5,3,18,5,0.9996144878576557,0.9758807521816654,0.1
88,10,5,18,5,0.9999708145826265,0.9777031672834575,0.1
88,10,6,18,5,0.9999890118481858,0.9781864940496313,0.1
1616,10,2,34.7,5,0.9997586849420904,0.8921839139016368,0.1
1616,10,4,34.7,5,0.9998525050479536,0.9084767893192359,0.1
1616,10,6,34.7,5,0.9999949329928388,0.9157271870480413,0.1
1616,10,0,10,5,0.8886449036782582,0.9999999999999908,0.1
44,10,0,20,5,0.9995184265389305,0.9999999999999987,0.1
44,10,1,20,5,0.9997178639272598,0.9940085064723796,0.1
44,5,1,20,5,0.9998200423561645,0.993653808764873,0.1
44,5,2,20,5,0.9999003569811523,0.9941907271888483,0.1
44,5,0,9,5,0.9962830427304525,1.0000000000000016,0.1
44,5,0,10,5,0.9984967410164013,1.0000000000000018,0.1
44,5,1,10,5,0.9992126783025785,0.993999480924251,0.1
1616,5,0,34.6,5,0.9981999780598185,0.9999999999999973,0.1
1616,5,2,34.6,5,0.9989363473602376,0.8803730213689258,0.1
88,5,0,18.5,5,0.9983580095036493,1.0000000000000027,0.1
88,5,1,18.5,5,0.9990941809693127,0.9735487080936025,0.1
88,5,0,36,5,0.999565247020404,0.9999999999999997,0.1
88,5,3,36,5,0.9999635864027742,0.9748164686721271,0.1
22,5,0,10,5,0.9970223454422025,1.0,0.1
22,5,0,6,5,0.9996379949942527,0.9999999999999996,0.1
22,5,1,6,5,0.9997664556762121,0.9990810330531874,0.1
22,5,2,6,5,0.9999381597765663,0.998626497853498,0.1
22,1,1,6,5,0.999704854617783,0.9993660721929584,0.1
22,1,0,6,5,0.9996379949942527,0.9999999999999996,0.1
22,1,5,6,5,0.999881521838482,0.9987249760406999,0.1
22,2,2,6,5,0.9999209334440078,0.9979365644981257,0.1
22,2,2,6,5,0.9998812012740722,0.9990156736679628,0.1
22,2,0,12,5,0.9999183609970891,0.9999999999999999,0.1
22,2,0,5.68,5,0.9990547740210616,1.0000000000000002,0.1
